Mumbai Indians - 1st innings,,,,,,,,,,,,
JP Faulkner,1,0,0,0,0,0,0,0,caught,0,1,0
"Anureet Singh - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
CH Morris,2,0,0,0,0,0,0,0,,0,2,0
JP Faulkner,1,0,0,0,0,0,0,0,,0,1,0
"Karanveer Singh - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
CH Morris,2,1,0,0,1,0,0,0,,5,4,125
Chennai Super Kings - 1st innings,,,,,,,,,,,,
"DR Smith - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
B Kumar,7,0,0,0,1,0,0,0,,4,8,50
TA Boult,3,1,0,0,1,0,0,0,,5,5,100
I Sharma,5,1,0,0,2,0,0,0,,9,8,112.5
KV Sharma,1,3,0,0,0,0,1,0,,9,5,180
"BB McCullum - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
B Kumar,4,2,0,0,0,0,1,0,,8,7,114.28
TA Boult,3,3,0,0,3,0,1,0,,21,10,210
I Sharma,4,2,1,0,2,0,3,0,,30,12,250
KV Sharma,6,4,0,0,0,0,3,0,,22,13,169.23
RS Bopara,3,5,0,0,1,0,0,0,,9,9,100
Parvez Rasool,3,0,0,0,1,0,1,0,,10,5,200
"SK Raina - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
B Kumar,1,2,0,0,1,0,0,0,,6,4,150
I Sharma,0,1,1,0,0,0,0,0,,3,2,150
KV Sharma,0,1,0,0,0,0,0,0,,1,1,100
RS Bopara,1,3,0,0,0,0,0,0,,3,4,75
Parvez Rasool,0,1,0,0,0,0,0,0,,1,1,100
"MS Dhoni - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
B Kumar,1,2,1,0,0,0,1,0,,10,5,200
TA Boult,5,1,1,0,1,0,0,0,caught,7,8,87.5
KV Sharma,1,1,0,0,0,0,3,0,,19,5,380
RS Bopara,3,5,0,0,3,0,0,0,,17,11,154.54
"RA Jadeja - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
TA Boult,1,0,0,0,0,0,0,0,,0,1,0
Sunrisers Hyderabad - 2nd innings,,,,,,,,,,,,
"DA Warner - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
A Nehra,0,4,0,0,0,0,0,0,,4,4,100
MM Sharma,1,3,1,0,0,0,1,0,,11,6,183.33
IC Pandey,6,2,0,0,1,0,2,0,caught,18,11,163.63
R Ashwin,4,7,1,0,0,0,0,0,,9,12,75
DJ Bravo,2,3,4,0,0,0,0,0,,11,9,122.22
"S Dhawan - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
A Nehra,2,4,0,0,3,0,0,0,,16,9,177.77
MM Sharma,5,2,0,0,2,0,0,0,caught,10,9,111.11
"KL Rahul - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
A Nehra,4,0,0,0,1,0,0,0,,4,5,80
MM Sharma,2,1,0,0,0,0,0,0,bowled,1,3,33.33
"NV Ojha - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
IC Pandey,0,1,0,0,0,0,0,0,,1,1,100
R Ashwin,2,3,1,0,0,0,1,0,caught,11,7,157.14
DJ Bravo,1,1,1,0,0,0,0,0,,3,3,100
"RS Bopara - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
IC Pandey,1,2,2,0,0,0,0,0,,6,5,120
R Ashwin,3,2,0,0,0,0,0,0,,2,5,40
DJ Bravo,1,1,0,0,0,0,0,0,bowled,1,2,50
RA Jadeja,0,1,0,0,0,0,2,0,,13,3,433.33
"KS Williamson - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
A Nehra,1,2,1,0,0,0,0,0,,4,4,100
MM Sharma,0,2,0,0,1,0,1,0,,12,4,300
IC Pandey,0,1,0,0,0,0,0,0,,1,1,100
DJ Bravo,1,5,0,0,0,0,0,0,,5,6,83.33
RA Jadeja,0,2,1,0,0,0,0,0,,4,3,133.33
"KV Sharma - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
A Nehra,1,1,0,0,0,0,0,0,,1,2,50
DJ Bravo,1,3,0,0,0,0,0,0,caught,3,4,75
"Parvez Rasool - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
MM Sharma,0,2,0,0,0,0,0,0,,2,2,100
Kolkata Knight Riders - 1st innings,,,,,,,,,,,,
"RV Uthappa - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
SA Abbott,1,3,1,0,1,0,0,0,,9,6,150
HV Patel,1,2,0,0,3,0,0,0,,14,6,233.33
VR Aaron,1,2,0,0,0,0,0,0,,2,3,66.66
AN Ahmed,3,5,1,0,0,0,0,0,caught,7,9,77.77
